地区,国家,确诊,疑似,治愈,新增确诊,新增治愈,新增死亡,死亡,日期
湖北省,中国,375,,25,375,25,9,9,2020-01-22
北京市,中国,10,,0,10,0,0,0,2020-01-22
广东省,中国,26,,0,26,0,0,0,2020-01-22
福建省,中国,1,,0,1,0,0,0,2020-01-22
四川省,中国,5,,0,5,0,0,0,2020-01-22
上海市,中国,9,,0,9,0,0,0,2020-01-22
黑龙江省,中国,0,,0,0,0,0,0,2020-01-22
重庆市,中国,6,,0,6,0,0,0,2020-01-22
山西省,中国,1,,0,1,0,0,0,2020-01-22
山东省,中国,2,,0,2,0,0,0,2020-01-22
香港,中国,0,,0,0,0,0,0,2020-01-22
台湾,中国,1,,0,1,0,0,0,2020-01-22
天津市,中国,4,,0,4,0,0,0,2020-01-22
澳门,中国,1,,0,1,0,0,0,2020-01-22
河北省,中国,1,,0,1,0,0,0,2020-01-22
江西省,中国,2,,0,2,0,0,0,2020-01-22
河南省,中国,5,,0,5,0,0,0,2020-01-22
浙江省,中国,10,,0,10,0,0,0,2020-01-22
辽宁省,中国,2,,0,2,0,0,0,2020-01-22
广西壮族自治区,中国,2,,0,2,0,0,0,2020-01-22
贵州省,中国,1,,0,1,0,0,0,2020-01-22
云南省,中国,1,,0,1,0,0,0,2020-01-22
海南省,中国,4,,0,4,0,0,0,2020-01-22
宁夏回族自治区,中国,1,,0,1,0,0,0,2020-01-22
湖南省,中国,4,,0,4,0,0,0,2020-01-22
吉林省,中国,0,,0,0,0,0,0,2020-01-22
安徽省,中国,1,,0,1,0,0,0,2020-01-22
陕西省,中国,3,,0,3,0,0,0,2020-01-23
北京市,中国,22,,0,12,0,0,0,2020-01-23
广东省,中国,32,,2,6,2,0,0,2020-01-23
福建省,中国,5,,0,4,0,0,0,2020-01-23
四川省,中国,8,,0,3,0,0,0,2020-01-23
上海市,中国,16,,0,7,0,0,0,2020-01-23
黑龙江省,中国,2,,0,2,0,0,0,2020-01-23
重庆市,中国,9,,0,3,0,0,0,2020-01-23
蒙古,中国,0,,0,0,0,0,0,2020-01-23
山东省,中国,6,,0,4,0,0,0,2020-01-23
香港,中国,2,,0,2,0,0,0,2020-01-23
澳门,中国,2,,0,1,0,0,0,2020-01-23
江苏省,中国,5,,0,5,0,0,0,2020-01-23
江西省,中国,3,,0,1,0,0,0,2020-01-23
浙江省,中国,27,,0,17,0,0,0,2020-01-23
辽宁省,中国,3,,0,1,0,0,0,2020-01-23
甘肃省,中国,2,,0,2,0,0,0,2020-01-23
广西壮族自治区,中国,5,,0,3,0,0,0,2020-01-23
内蒙古自治区,中国,0,,0,0,0,0,0,2020-01-23
贵州省,中国,3,,0,2,0,0,0,2020-01-23
海南省,中国,5,,0,1,0,0,0,2020-01-23
湖南省,中国,9,,0,5,0,0,0,2020-01-23
吉林省,中国,1,,0,1,0,0,0,2020-01-23
新疆维吾尔自治区,中国,2,,0,2,0,0,0,2020-01-23
安徽省,中国,9,,0,8,0,0,0,2020-01-23
湖北省,中国,549,,31,174,6,15,24,2020-01-24
陕西省,中国,5,,0,2,0,0,0,2020-01-24
北京市,中国,36,,1,14,1,0,0,2020-01-24
广东省,中国,53,,2,21,0,0,0,2020-01-24
福建省,中国,10,,0,5,0,0,0,2020-01-24
四川省,中国,15,,0,7,0,0,0,2020-01-24
上海市,中国,20,,1,4,1,0,0,2020-01-24
黑龙江省,中国,4,,0,2,0,1,1,2020-01-24
重庆市,中国,27,,0,18,0,0,0,2020-01-24
山西省,中国,1,,0,0,0,0,0,2020-01-24
蒙古,中国,2,,0,2,0,0,0,2020-01-24
山东省,中国,15,,0,9,0,0,0,2020-01-24
香港,中国,2,,0,0,0,0,0,2020-01-24
台湾,中国,1,,0,0,0,0,0,2020-01-24
天津市,中国,8,,0,4,0,0,0,2020-01-24
澳门,中国,2,,0,0,0,0,0,2020-01-24
江苏省,中国,9,,0,4,0,0,0,2020-01-24
河北省,中国,2,,0,1,0,1,1,2020-01-24
江西省,中国,7,,0,4,0,0,0,2020-01-24
河南省,中国,9,,0,4,0,0,0,2020-01-24
浙江省,中国,43,,1,16,1,0,0,2020-01-24
辽宁省,中国,4,,0,1,0,0,0,2020-01-24
甘肃省,中国,2,,0,0,0,0,0,2020-01-24
广西壮族自治区,中国,13,,0,8,0,0,0,2020-01-24
内蒙古自治区,中国,2,,0,2,0,0,0,2020-01-24
贵州省,中国,3,,0,0,0,0,0,2020-01-24
云南省,中国,5,,0,4,0,0,0,2020-01-24
海南省,中国,8,,0,3,0,0,0,2020-01-24
宁夏回族自治区,中国,2,,0,1,0,0,0,2020-01-24
湖南省,中国,24,,0,15,0,0,0,2020-01-24
吉林省,中国,3,,0,2,0,0,0,2020-01-24
新疆维吾尔自治区,中国,2,,0,0,0,0,0,2020-01-24
安徽省,中国,15,,0,6,0,0,0,2020-01-24
青海省,中国,0,,0,0,0,0,0,2020-01-24
湖北省,中国,730,,32,181,1,15,39,2020-01-25
陕西省,中国,15,,0,10,0,0,0,2020-01-25
北京市,中国,41,,2,5,1,0,0,2020-01-25
广东省,中国,78,,2,25,0,0,0,2020-01-25
福建省,中国,18,,0,8,0,0,0,2020-01-25
四川省,中国,28,,0,13,0,0,0,2020-01-25
上海市,中国,33,,1,13,0,0,0,2020-01-25
黑龙江省,中国,9,,0,5,0,0,1,2020-01-25
重庆市,中国,57,,0,30,0,0,0,2020-01-25
山西省,中国,6,,0,5,0,0,0,2020-01-25
蒙古,中国,7,,0,5,0,0,0,2020-01-25
山东省,中国,27,,0,12,0,0,0,2020-01-25
香港,中国,5,,0,3,0,0,0,2020-01-25
台湾,中国,3,,0,2,0,0,0,2020-01-25
天津市,中国,10,,0,2,0,0,0,2020-01-25
江苏省,中国,18,,1,9,1,0,0,2020-01-25
河北省,中国,8,,0,6,0,0,1,2020-01-25
江西省,中国,18,,0,11,0,0,0,2020-01-25
河南省,中国,32,,0,23,0,0,0,2020-01-25
浙江省,中国,62,,1,19,0,0,0,2020-01-25
辽宁省,中国,16,,0,12,0,0,0,2020-01-25
甘肃省,中国,4,,0,2,0,0,0,2020-01-25
广西壮族自治区,中国,23,,0,10,0,0,0,2020-01-25
内蒙古自治区,中国,7,,0,5,0,0,0,2020-01-25
贵州省,中国,4,,0,1,0,0,0,2020-01-25
云南省,中国,11,,0,6,0,0,0,2020-01-25
海南省,中国,19,,0,11,0,0,0,2020-01-25
宁夏回族自治区,中国,3,,0,1,0,0,0,2020-01-25
湖南省,中国,43,,0,19,0,0,0,2020-01-25
吉林省,中国,4,,0,1,0,0,0,2020-01-25
新疆维吾尔自治区,中国,3,,0,1,0,0,0,2020-01-25
安徽省,中国,39,,0,24,0,0,0,2020-01-25
青海省,中国,1,,0,1,0,0,0,2020-01-25
湖北省,中国,1058,,42,328,10,13,52,2020-01-26
陕西省,中国,22,,0,7,0,0,0,2020-01-26
北京市,中国,68,,2,27,0,0,0,2020-01-26
广东省,中国,111,,2,33,0,0,0,2020-01-26
福建省,中国,35,,0,17,0,0,0,2020-01-26
四川省,中国,44,,0,16,0,0,0,2020-01-26
上海市,中国,40,,1,7,0,1,1,2020-01-26
黑龙江省,中国,15,,0,6,0,0,1,2020-01-26
重庆市,中国,75,,0,18,0,0,0,2020-01-26
山西省,中国,9,,0,3,0,0,0,2020-01-26
蒙古,中国,7,,0,0,0,0,0,2020-01-26
山东省,中国,46,,0,19,0,0,0,2020-01-26
台湾,中国,4,,0,1,0,0,0,2020-01-26
天津市,中国,14,,0,4,0,0,0,2020-01-26
澳门,中国,5,,0,3,0,0,0,2020-01-26
江苏省,中国,33,,1,15,0,0,0,2020-01-26
河北省,中国,13,,0,5,0,0,1,2020-01-26
江西省,中国,36,,0,18,0,0,0,2020-01-26
河南省,中国,83,,0,51,0,1,1,2020-01-26
浙江省,中国,104,,1,42,0,0,0,2020-01-26
辽宁省,中国,21,,0,5,0,0,0,2020-01-26
甘肃省,中国,7,,0,3,0,0,0,2020-01-26
